english;français;Date;Nb;Score;Taux;image
a salver;un plateau;2021-08-19;14;-7;-0.5;95.0
to whittle;réduire;2021-08-19;11;-10;-0.91;98.75
a wake;un sillage;2021-08-19;17;9;0.53;91.25
to till;labourer;2021-08-19;16;-12;-0.75;92.5
tweaking piecemeal ;ajuster au coup par coup;2021-08-19;21;2;0.1;86.25
subpar (adj.);inférieur à la moyenne;2021-08-19;14;4;0.29;95.0
a recumbent;un gisant;2021-08-20;11;1;0.09;98.75
glibly;avec désinvolture;2021-08-20;9;3;0.33;101.25
entrancing;ravissant. enchanteur;2021-08-20;13;3;0.23;96.25
to pluck;pincer (les cordes d'un instrument);2021-08-24;14;-5;-0.36;95.0
a wart;une verrue;2021-08-24;11;8;0.73;98.75
heath (common name);la bruyère;2021-08-24;9;-3;-0.33;101.25
as opposed to;contrairement à;2021-08-25;8;8;1.0;102.5
nosy;curieux. fouineur;2021-08-25;18;13;0.72;90.0
an alimony;une pension alimentaire;2021-08-25;12;-6;-0.5;97.5
moron (adj.);imbécile. crétin. idiot;2021-08-25;19;7;0.37;88.75
pesky;embêtant;2021-08-25;17;-5;-0.29;91.25
underwhelming (adj.);décevant;2021-08-26;15;-13;-0.87;93.75
a slider;une glissière;2021-08-26;13;11;0.85;96.25
by any means (expr.);en aucune façon;2021-08-26;10;4;0.4;100.0
overwhelming;écrasant;2021-08-26;20;14;0.7;87.5
fiddling (adj.);futile. sans importance;2021-08-27;16;3;0.19;92.5
a lapel;un revers (sur un vêtement);2021-08-28;18;3;0.17;90.0
mock (adj.);faux;2021-08-31;19;15;0.79;88.75
without further ado;sans plus tarder;2021-09-01;8;8;1.0;102.5
a thumbnail;un ongle de pouce / une vignette;2021-09-01;17;12;0.71;91.25
untoward (adj.);désagréable. fâcheux;2021-09-03;12;-10;-0.83;97.5
a tug-of-war;une lutte à la corde;2021-09-03;16;6;0.38;92.5
an oar;une rame. un aviron;2021-09-03;11;-9;-0.82;98.75
to cinch;sangler;2021-09-04;15;5;0.33;93.75
constabulary (common name);les forces de police;2021-09-04;23;19;0.83;83.75
a kettle;une bouilloire;2021-09-04;17;3;0.18;91.25
fluffy;duveteux;2021-09-04;15;-3;-0.2;93.75
to ream;fraiser / presser;2021-09-05;13;-13;-1.0;96.25
an ignoramuse;un ignorant. un ignare;2021-09-05;19;15;0.79;88.75
to wrangle;se disputer. se chamailler;2021-09-06;17;-15;-0.88;91.25
a pitchfork;une fourche à foin;2021-09-08;15;12;0.8;93.75
to scramble;brouiller / se ruer;2021-09-08;24;-14;-0.58;82.5
aptly;pertinemment. avec justesse. à propos;2021-09-08;13;11;0.85;96.25
restless;agité. inquiet;2021-09-09;9;-3;-0.33;101.25
to bicker;se chamailler;2021-09-12;25;-2;-0.08;81.25
awry (adj.);de travers. courbé;2021-09-13;7;-7;-1.0;103.75
to tuck away;ranger;2021-09-14;12;-2;-0.17;97.5
a binge;une frénésie. une bringue;2021-09-16;9;-3;-0.33;101.25
a kitten;un chaton;2021-09-17;13;9;0.69;96.25
a speed bump;un dos-d'âne;2021-09-18;12;8;0.67;97.5
a hammock;un hamac;2021-09-18;17;-3;-0.18;91.25
a ledger;un registre;2021-09-20;17;3;0.18;91.25
a thumbtack;une punaise (fixation);2021-09-20;9;1;0.11;101.25
tacky;collant / moche;2021-09-20;8;-6;-0.75;102.5
to discard;se débarrasser de. écarter;2021-09-21;19;11;0.58;88.75
to brag;se vanter. fanfaronner;2021-09-21;16;14;0.88;92.5
to snoop;espionner. fureter;2021-09-23;16;8;0.5;92.5
a recoil;un mouvement de recul;2021-09-24;20;12;0.6;87.5
uptime (common name);la disponibilité;2021-09-25;14;-12;-0.86;95.0
to deflate;dégonfler. faire diminuer;2021-09-25;10;4;0.4;100.0
IMO;in my opinion;2021-09-25;16;12;0.75;92.5
a hoard;un magot / une provision;2021-09-25;13;-13;-1.0;96.25
to fizzle;pétiller;2021-09-26;17;3;0.18;91.25
incidentally;accidentellement;2021-09-26;14;10;0.71;95.0
fictitious;fictif;2021-09-26;14;12;0.86;95.0
to peruse;lire attentivement;2021-09-28;12;-10;-0.83;97.5
backdoor (adj.);détourné. déguisé;2021-09-29;15;-5;-0.33;93.75
drowsiness (common name);la somnolence;2021-09-30;12;2;0.17;97.5
froth (common name);la mousse. l'écume;2021-10-02;17;11;0.65;91.25
to run afoul;se heurter;2021-10-02;17;13;0.76;91.25
a roll back;un retour en arrière;2021-10-02;12;-2;-0.17;97.5
a filling cabinet;un classeur;2021-10-02;8;-8;-1.0;102.5
to grind;moudre / grincer;2021-10-03;12;8;0.67;97.5
stateless;apatride;2021-10-13;10;0;0.0;100.0
undercover (adj.);secret / à l'abri;2021-10-13;15;7;0.47;93.75
a tab;un onglet / une étiquette;2021-10-14;17;15;0.88;91.25
a wonk;un fou. un idiot;2021-10-14;19;-11;-0.58;88.75
every so often;de temps en temps;2021-10-14;12;10;0.83;97.5
rife (adj.);abondant. répandu;2021-10-15;10;-8;-0.8;100.0
an onus;un fardeau;2021-10-15;13;-9;-0.69;96.25
to blaze;flamber / éclater;2021-10-24;15;3;0.2;93.75
redcurrant (common name);la groseille;2021-10-25;23;13;0.57;83.75
a plum;une prune;2021-10-25;6;-6;-1.0;105.0
a quince;un coing;2021-10-25;10;4;0.4;100.0
huckleberry (common name);des airelles;2021-10-25;8;2;0.25;102.5
an overblow;une exagération;2021-10-26;13;1;0.08;96.25
a leeway;une marge de manuvre;2021-10-26;9;-5;-0.56;101.25
a beanstalk;une tige de haricot / un haricot magique;2021-10-28;15;9;0.6;93.75
inbred;inné;2021-10-29;11;-3;-0.27;98.75
a thicket;un bosquet / une touffe;2021-10-29;14;-2;-0.14;95.0
a boon;une aubaine;2021-10-30;14;4;0.29;95.0
feisty;fougueux;2021-10-31;18;4;0.22;90.0
a brat;un morveux;2021-11-05;9;-3;-0.33;101.25
turf (common name);le gazon / le domaine;2021-11-06;14;0;0.0;95.0
to no avail / with no avail;en vain;2021-11-08;13;-5;-0.38;96.25
a sprig;un brin. une branchette;2021-11-09;16;12;0.75;92.5
to toss;jeter. lancer;2021-11-10;14;-2;-0.14;95.0
a boulder;un rocher. un bloc de pierre;2021-11-10;17;15;0.88;91.25
a keystroke;une frappe de touche d'ordinateur;2021-11-15;14;12;0.86;95.0
pebbledash. roughcast;le crépi. la cendre de galet;2021-11-15;13;9;0.69;96.25
incontrovertible;irréfutable;2021-11-15;17;3;0.18;91.25
to spearhead;être à la tête de ;2021-11-15;17;-3;-0.18;91.25
to alleviate;soulager;2021-11-15;10;2;0.2;100.0
barley (common name);l'orge;2021-11-15;12;2;0.17;97.5
a leech;une sangsue;2021-11-19;10;-4;-0.4;100.0
freak (adj.);anormal. exceptionnel;2021-11-19;11;-1;-0.09;98.75
to loll;se prélasser;2021-11-19;11;-11;-1.0;98.75
a hand cracking;une manivelle;2021-11-21;18;12;0.67;90.0
to hallmark;poinçonner;2021-11-21;7;-3;-0.43;103.75
muck (common name);la boue;2021-11-21;18;10;0.56;90.0
a fraudster;un fraudeur;2021-11-21;9;9;1.0;101.25
unfathomable;insondable;2021-11-21;12;4;0.33;97.5
a cakewalk;une promenade;2021-11-22;13;9;0.69;96.25
to grope;tâtonner / peloter;2021-11-23;16;2;0.13;92.5
spiteful;rancunier. venimeux;2021-11-23;11;-7;-0.64;98.75
seaweed (common name);une algue;2021-11-23;7;7;1.0;103.75
a swab;un écouvillon;2021-11-24;13;7;0.54;96.25
to wince;grimacer. tressaillir;2021-11-24;13;3;0.23;96.25
a guile;une ruse. une astuce;2021-11-24;14;-12;-0.86;95.0
slew (adj.);abattu. meurtri / déporté violemment;2021-11-24;7;-7;-1.0;103.75
a keel;une quille / un navire;2021-11-24;5;-1;-0.2;106.25
brine (common name);l'eau salée. la saumure;2021-11-24;13;-1;-0.08;96.25
a slit;une fente. une incision;2021-11-24;14;10;0.71;95.0
to hack;pirater / tailler / tousser sans arrêt;2021-11-24;12;8;0.67;97.5
to holler;brailler;2021-11-24;10;-4;-0.4;100.0
a lode;un filon. une veine;2021-11-24;17;-13;-0.76;91.25
a ripple;une ondulation. une ride;2021-11-24;11;9;0.82;98.75
mooring (common name);l'amarrage. le mouillage;2021-11-24;10;-8;-0.8;100.0
a tiller (navig.);la barre de gouvernail;2021-11-24;10;-1;-0.1;100.0
a crank;une manivelle;2021-11-24;17;15;0.88;91.25
gills (common name);les branchies;2021-11-24;19;1;0.05;88.75
a coaster;un dessous de verre;2021-11-29;8;4;0.5;102.5
a yank;un coup sec. une saccade;2021-11-29;13;-13;-1.0;96.25
to shrinkwrap;emballer sous papier plastique;2021-12-01;15;9;0.6;93.75
a sink;un évier;2021-12-01;8;2;0.25;102.5
to dabble;barboter;2021-12-01;13;-3;-0.23;96.25
barnyard (common name);la basse-cour;2021-12-02;7;-5;-0.71;103.75
amenable;accomodant. souple;2021-12-02;14;2;0.14;95.0
apace (adv.);rapidement. vite;2021-12-03;16;14;0.88;92.5
to elicit;obtenir / provoquer;2021-12-03;16;-16;-1.0;92.5
with a fingersnip;en un claquement de doigt;2021-12-04;9;9;1.0;101.25
full-fledged;à part entière;2021-12-04;14;-4;-0.29;95.0
to pay off;"""payer"". être rentable ";2021-12-04;13;5;0.38;96.25
a shootout;une fusillade. un règlement de compte;2021-12-04;17;7;0.41;91.25
a fledge;un envol;2021-12-04;15;-7;-0.47;93.75
a decoy;un leurre;2021-12-04;8;-8;-1.0;102.5
a hummingbird;un colibri;2021-12-04;13;7;0.54;96.25
a backdrop;une toile de fond;2021-12-05;8;-8;-1.0;102.5
the seascape;le paysage marin;2021-12-05;9;9;1.0;101.25
gangly (adj.);déguingandé;2021-12-06;14;-10;-0.71;95.0
dubbed as ;surnommé  / doublé;2021-12-07;15;5;0.33;93.75
a stanza;une strophe. un couplet;2021-12-07;13;7;0.54;96.25
kudos (common name);la gloire. les lauriers;2021-12-10;10;4;0.4;100.0
a stump;une souche / un moignon / un mégot;2021-12-11;10;0;0.0;100.0
to stump;laisser perplexe / mettre hors jeu;2021-12-11;11;-5;-0.45;98.75
to frolic;gambader. batifoler;2021-12-15;12;4;0.33;97.5
to spew;vomir;2021-12-15;6;-2;-0.33;105.0
whey (common name);du petit lait;2021-12-19;12;-12;-1.0;97.5
hiccup (common name);le hoquet;2021-12-19;16;14;0.88;92.5
a warthog;un phacochère;2021-12-22;9;5;0.56;101.25
to fret;tracasser / énerver;2021-12-23;15;-13;-0.87;93.75
an ingress;une entrée;2021-12-23;14;8;0.57;95.0
a rachet;un cliquet;2021-12-24;7;-7;-1.0;103.75
to bristle;se hérisser;2021-12-24;16;-6;-0.38;92.5
to divest;dépouiller. priver;2021-12-27;14;-14;-1.0;95.0
a periwinkle;une pervenche;2021-12-29;10;8;0.8;100.0
an oleander;un laurier rose;2021-12-29;11;-1;-0.09;98.75
itchy (adj.);qui démange;2021-12-29;11;-3;-0.27;98.75
a booth;un stand. un kiosque;2021-12-30;13;-9;-0.69;96.25
to grind to a halt;s'arrêter;2021-12-30;9;9;1.0;101.25
at the outskirts;en périphérie;2021-12-30;6;4;0.67;105.0
to limp;boîter. clopiner;2021-12-30;14;-8;-0.57;95.0
to undersay;sous-estimer;2021-12-30;9;3;0.33;101.25
to garble;brouiller. déformer;2022-01-02;13;-13;-1.0;96.25
to traipse;se balader;2022-01-02;11;-3;-0.27;98.75
a morass;un marécage. un bourbier;2022-01-03;8;-6;-0.75;102.5
in droves;en masse;2022-01-03;10;2;0.2;100.0
a drove of cattle;un troupeau de bétail;2022-01-03;6;4;0.67;105.0
an acorn;un gland;2022-01-03;13;1;0.08;96.25
to blather;bavarder. débiter des bêtises;2022-01-03;10;6;0.6;100.0
to bemoan;déplorer. pleurer;2022-01-03;16;-2;-0.13;92.5
germane (adj.);allié / convenable;2022-01-03;9;-7;-0.78;101.25
covertly;secrètement;2022-01-03;6;4;0.67;105.0
to slog;bosser. donner un grand coup;2022-01-03;10;-10;-1.0;100.0
a conundrum;une énigme;2022-01-03;15;11;0.73;93.75
a bramble;un roncier;2022-01-03;17;-3;-0.18;91.25
to hark;écouter;2022-01-03;11;1;0.09;98.75
to litter;disperser / joncher. couvrir de ;2022-01-03;7;-5;-0.71;103.75
a racoon;un raton-laveur;2022-01-05;15;9;0.6;93.75
hefty (adj.);lourd. gros / costaud;2022-01-06;13;-13;-1.0;96.25
to chisel;buriner. ciseler;2022-01-07;10;6;0.6;100.0
a firehose;une lance à incendie;2022-01-07;19;13;0.68;88.75
a wisp;un brin. une mèche;2022-01-10;15;7;0.47;93.75
slime (common name);la vase. le limon;2022-01-11;14;8;0.57;95.0
slurry (common name);du lisier. de la gadoue;2022-01-11;12;-8;-0.67;97.5
feces (common name);des excréments;2022-01-11;8;8;1.0;102.5
tithe (common name);la dîme;2022-01-11;18;14;0.78;90.0
to spoil;abîmer;2022-01-12;9;-3;-0.33;101.25
I'm yet to find ;Je n'ai pas encore trouvé ;2022-01-12;13;3;0.23;96.25
a crease;un pli. une pliure;2022-01-14;18;-4;-0.22;90.0
dredging (common name);le dragage;2022-01-14;8;-8;-1.0;102.5
a standoff;une impasse / une confrontation;2022-01-15;5;-5;-1.0;106.25
footage (common name);des images;2022-01-15;12;4;0.33;97.5
a crate;une caisse. un cageot;2022-01-16;14;12;0.86;95.0
craven (adj.);lâche;2022-01-16;15;-11;-0.73;93.75
elusive;insaisissable;2022-01-16;12;-6;-0.5;97.5
tiresome;fatigant;2022-01-17;10;8;0.8;100.0
a gnat;un moucheron;2022-01-17;15;13;0.87;93.75
flimsy;fragile. peu solide;2022-01-19;15;-9;-0.6;93.75
timely (adj.);opportun;2022-01-19;13;9;0.69;96.25
deceit (common name);la tromperie. le mensonge;2022-01-20;8;-2;-0.25;102.5
willy-nilly (expr.);bon gré mal gré;2022-01-20;10;8;0.8;100.0
overtly;ouvertement;2022-01-22;8;6;0.75;102.5
a cue;un signal / une queue;2022-01-22;16;6;0.38;92.5
a treadmill;un tapis roulant / un manège;2022-01-23;15;-5;-0.33;93.75
to nab;épingler / pincer;2022-01-23;14;-6;-0.43;95.0
a dork (coll.);un blaireau (insulte);2022-01-23;12;8;0.67;97.5
to drool;baver. saliver;2022-01-23;15;-3;-0.2;93.75
a backwater;de l'eau stagnante / un coin perdu;2022-01-23;7;7;1.0;103.75
an upholstery;une tapisserie;2022-01-23;7;-1;-0.14;103.75
to hog up;s'accaparer / courber;2022-01-23;11;-5;-0.45;98.75
the loo;les toilettes;2022-01-23;9;7;0.78;101.25
to seep;infiltrer. suinter;2022-01-23;8;0;0.0;102.5
a vial;une fiole. une bouteille;2022-01-23;10;6;0.6;100.0
barmy;timbré. maboul;2022-01-23;9;-9;-1.0;101.25
to put one's foot down;adopter une politique ferme (face à de l'opposition);2022-01-24;14;-2;-0.14;95.0
a hoodie;un sweat à capuche;2022-01-24;3;-1;-0.33;108.75
a gavel;un marteau de justice;2022-01-26;15;3;0.2;93.75
a coxswain (navig.);un barreur (navigation);2022-01-28;11;-7;-0.64;98.75
my in-laws;ma belle-famille;2022-01-28;9;7;0.78;101.25
a shortfall;un manque à gagner / un montant insuffisant;2022-01-28;11;-11;-1.0;98.75
smithereens (common name);des morceaux;2022-01-30;8;-6;-0.75;102.5
a doe;une biche;2022-01-30;14;12;0.86;95.0
deer antler;la ramure d'un cerf;2022-01-30;7;5;0.71;103.75
a thud;un bruit sourd;2022-01-30;7;7;1.0;103.75
a dove;une colombe;2022-01-30;14;2;0.14;95.0
pox (common name);la variole / la vérole;2022-01-30;12;4;0.33;97.5
a bequest;un legs;2022-01-30;14;6;0.43;95.0
to encroach;empiéter;2022-01-30;15;3;0.2;93.75
to warble;gazouiller. roucouler;2022-01-30;8;-8;-1.0;102.5
the clout;le poids. l'influence;2022-01-30;11;-11;-1.0;98.75
to muffle;étouffer. assourdir;2022-01-30;12;-12;-1.0;97.5
a roost;un perchoir;2022-01-30;10;2;0.2;100.0
to pilfer;chaparder;2022-01-31;12;-12;-1.0;97.5
a proclivity;une propension. une inclination;2022-02-01;7;5;0.71;103.75
blimey (expr.);utilisé pour exprimer la surprise. l'excitation ou l'alarme;2022-02-01;13;9;0.69;96.25
dewy;frais / couvert de rosée;2022-02-01;11;9;0.82;98.75
to overshoot;dépasser;2022-02-02;12;-8;-0.67;97.5
and you name it (expr.);et tout ce que vous pouvez imaginer;2022-02-02;12;8;0.67;97.5
to choke;étouffer. étrangler;2022-02-02;19;-3;-0.16;88.75
clamshell (adj.);à clapet;2022-02-03;9;-1;-0.11;101.25
to simmer;mijoter. frémir;2022-02-03;14;-14;-1.0;95.0
a foothold;un ancrage;2022-02-03;15;-1;-0.07;93.75
a closeup;un gros plan;2022-02-03;14;-6;-0.43;95.0
to deface;rendre illisible. effacer;2022-02-03;12;8;0.67;97.5
a roadblock;un barrage routier;2022-02-04;12;2;0.17;97.5
to slink;se glisser. sortir furtivement;2022-02-04;13;5;0.38;96.25
to hobble;entraver;2022-02-04;10;-10;-1.0;100.0
itty bitty (adj.);tout petit;2022-02-05;9;-9;-1.0;101.25
a groundhog;une marmotte;2022-02-08;9;-1;-0.11;101.25
a hog;un cochon. un porc;2022-02-08;14;2;0.14;95.0
a furrow;un sillon;2022-02-10;10;4;0.4;100.0
to sulk;bouder;2022-02-10;9;-9;-1.0;101.25
to go toe to toe;commencer à discuter âprement avec quelqu'un;2022-02-10;13;5;0.38;96.25
an abacus;un boulier;2022-02-10;12;4;0.33;97.5
to pry into sthg;fouiller dans qc;2022-02-11;8;0;0.0;102.5
an eggplant;une aubergine;2022-02-11;13;5;0.38;96.25
to scavenge;récupérer / faire les poubelles;2022-02-12;6;-6;-1.0;105.0
darned (colloquial);fichu;2022-02-13;7;3;0.43;103.75
a faucet;un robinet;2022-02-13;14;4;0.29;95.0
to segue;enchaîner;2022-02-13;5;-5;-1.0;106.25
as it gets;rien de meilleur n'est possible ou disponible;2022-02-14;11;-7;-0.64;98.75
scorched-earth policy;la politique de la terre brûlée;2022-02-15;15;13;0.87;93.75
a weir;un seuil / un barrage;2022-02-15;11;-11;-1.0;98.75
a knack (colloquial);un tour de main;2022-02-15;6;-6;-1.0;105.0
charcoal (common name);du charbon de bois;2022-02-16;9;3;0.33;101.25
to lisp;parler avec un cheveu sur la langue;2022-02-16;14;6;0.43;95.0
obnoxious (adj.);odieux. insupportable;2022-02-17;15;-11;-0.73;93.75
a shooting star;une étoile filante;2022-02-17;14;10;0.71;95.0
a slingshot;un lance-pierre;2022-02-18;10;-2;-0.2;100.0
a freshman;un étudiant de première année;2022-02-21;7;1;0.14;103.75
unadorned;sans fioriture;2022-02-21;16;-12;-0.75;92.5
a daisy;une paquerette / un homme gentil;2022-02-22;5;-1;-0.2;106.25
especially since ;d'autant plus que ;2022-02-22;13;3;0.23;96.25
a flee;une puce;2022-02-22;6;4;0.67;105.0
to crumple;froisser;2022-02-23;8;-8;-1.0;102.5
battered;bosselé. cabossé;2022-02-23;7;-7;-1.0;103.75
a capstone;une pierre angulaire;2022-02-23;9;5;0.56;101.25
lingo (common name);le jargon. le charabia;2022-02-28;5;-5;-1.0;106.25
to power up;mettre sous tension;2022-02-28;8;8;1.0;102.5
wads of cash;des liasses de billets;2022-02-28;9;9;1.0;101.25
to avert;éviter;2022-02-28;18;-6;-0.33;90.0
antics (common name);des bouffonneries;2022-02-28;21;3;0.14;86.25
skimming (common name);la fraude fiscale;2022-03-01;8;-6;-0.75;102.5
gooey (adj.);gluant;2022-03-01;13;-3;-0.23;96.25
a sticker;un autocollant;2022-03-01;10;8;0.8;100.0
a shoehorn;un chausse-pied;2022-03-02;5;1;0.2;106.25
a garment;un vêtement. un habit;2022-03-02;10;-8;-0.8;100.0
an umpire;un arbitre / un juge de chaise;2022-03-03;10;2;0.2;100.0
to douse;éteindre / tremper;2022-03-04;12;-2;-0.17;97.5
aft (adv.);à l'arrière (d'un navire);2022-03-05;15;7;0.47;93.75
to cringe;grimacer;2022-03-06;12;-6;-0.5;97.5
a fulcrum;un point d'appui;2022-03-06;8;-8;-1.0;102.5
to haggle over;surmonter;2022-03-06;14;-12;-0.86;95.0
a sieve;un tamis;2022-03-06;13;11;0.85;96.25
bantering (adj.);goguenard;2022-03-06;5;-5;-1.0;106.25
to recant;se rétracter;2022-03-06;15;5;0.33;93.75
an uptick;une hausse;2022-03-07;6;-4;-0.67;105.0
to latch on;s'accrocher;2022-03-07;7;3;0.43;103.75
to wiggle;remuer;2022-03-08;11;-7;-0.64;98.75
scot-free (adj.);acquitté;2022-03-09;11;-5;-0.45;98.75
a heatsink;un dissipateur de chaleur;2022-03-10;10;6;0.6;100.0
shenanigans (common name);des maniganceries;2022-03-12;7;-3;-0.43;103.75
a brood;une couvée;2022-03-13;3;1;0.33;108.75
No time to dillydally!;Pas le temps de lanterner ! / Pas de temps à perdre !;2022-03-13;8;8;1.0;102.5
flippant (adj.);désinvolte;2022-03-13;4;-4;-1.0;107.5
crufty (adj.);cruel;2022-03-13;15;-15;-1.0;93.75
a showdown;une épreuve de force. une confrontation;2022-03-13;11;-7;-0.64;98.75
tacky;moche / poisseux. collant;2022-03-13;8;0;0.0;102.5
dregs (common name);la lie (du vin. );2022-03-13;10;2;0.2;100.0
a tipoff;une dénonciation;2022-03-13;9;-9;-1.0;101.25
a bevy;une bande;2022-03-13;6;-6;-1.0;105.0
litmus paper;le papier pH;2022-03-13;12;10;0.83;97.5
a mace;une massue;2022-03-13;8;-4;-0.5;102.5
a girder;une poutre. un longeron;2022-03-13;10;-10;-1.0;100.0
a fallback;une solution de repli;2022-03-15;9;-9;-1.0;101.25
an utterance;une énonciation;2022-03-15;10;0;0.0;100.0
importantly;surtout;2022-03-16;11;5;0.45;98.75
on and on;encore et encore;2022-03-16;6;6;1.0;105.0
proctoring (common name);la surveillance;2022-03-17;12;-4;-0.33;97.5
an aisle;un rayon (de magasin). une allée;2022-03-17;12;2;0.17;97.5
a snowflake;un flocon de neige;2022-03-18;5;5;1.0;106.25
a gambit;une manuvre;2022-03-18;4;-2;-0.5;107.5
gruff (adj.);bourru. brusque. grossier;2022-03-18;10;8;0.8;100.0
to neigh;hennir;2022-03-19;7;-5;-0.71;103.75
a barn;une grange. une étable;2022-03-19;8;-4;-0.5;102.5
to throttle;étrangler / accélérer;2022-03-19;11;-5;-0.45;98.75
a bairn;un enfant;2022-03-19;5;-5;-1.0;106.25
a jiffy;un instant. une seconde;2022-03-20;9;9;1.0;101.25
wicked (adj.);méchant. mauvais. inique;2022-03-20;9;-9;-1.0;101.25
dotage (common name);l'âge gâteux. la seconde enfance;2022-03-20;7;-1;-0.14;103.75
to rue;regretter. se repentir;2022-03-20;10;0;0.0;100.0
to take over;prendre la succession. reprendre (un commerce). racheter / se mettre à l'abri;2022-03-20;22;7;0.32;85.0
outwitted;déjoué;2022-03-20;10;-10;-1.0;100.0
to snarl;gronder. grogner;2022-03-20;12;-10;-0.83;97.5
a tub;un bac. une baignoire;2022-03-20;6;-6;-1.0;105.0
to snivel;pleurnicher. larmoyer;2022-03-20;5;-1;-0.2;106.25
to sift;tamiser. passer au crible;2022-03-20;9;1;0.11;101.25
snappy;vif. dynamique;2022-03-21;8;-8;-1.0;102.5
an incumbent;un titulaire;2022-03-22;12;8;0.67;97.5
wacky;farfelu;2022-03-22;13;-13;-1.0;96.25
deflated;dégonflé;2022-03-26;9;9;1.0;101.25
to squint;loucher / plisser les yeux;2022-03-27;5;-5;-1.0;106.25
an impersonator;un imitateur;2022-03-27;4;-2;-0.5;107.5
to entwine;enlacer;2022-03-28;7;-5;-0.71;103.75
stonks (common name);des actions financières;2022-03-29;8;-6;-0.75;102.5
to mitigate;atténuer. réduire / mitiger;2022-03-30;7;1;0.14;103.75
a covenant;un engagement / un accord;2022-03-31;5;-5;-1.0;106.25
to equate;assimiler;2022-03-31;6;-6;-1.0;105.0
to groom;panser / préparer;2022-03-31;18;-8;-0.44;90.0
a groom;un jeune marié / un valet d'écurie;2022-03-31;12;6;0.5;97.5
to taper off;(s') estomper;2022-03-31;12;-4;-0.33;97.5
a grove;un bosquet. un jardin;2022-04-01;12;-12;-1.0;97.5
thrush (common name);du muguet / une grive / la mycose vaginale;2022-04-01;17;-13;-0.76;91.25
lye (common name);la lessive;2022-04-01;8;0;0.0;102.5
bleach (common name);l'eau de javel;2022-04-01;12;6;0.5;97.5
a subpoena;une assignation à comparaître;2022-04-01;7;-5;-0.71;103.75
to kibosh (coll.);anéantir définitivement (fam.);2022-04-02;4;-2;-0.5;107.5
to botch;bousiller. saboter / rafistoler;2022-04-02;4;-4;-1.0;107.5
to rant;divaguer / parler avec emphase;2022-04-02;6;-6;-1.0;105.0
the tummy (coll.);le ventre (fam.);2022-04-05;8;6;0.75;102.5
to gloss;briller. faire briller / commenter. interpréter;2022-04-05;5;5;1.0;106.25
splits (common name);le grand écart;2022-04-05;11;-11;-1.0;98.75
bonafide (adj.);authentique;2022-04-06;10;-4;-0.4;100.0
no brainer (coll.);sans prise de tête;2022-04-06;4;2;0.5;107.5
a flicker;un vacillement / une lueur;2022-04-08;9;-7;-0.78;101.25
foregone (adj.);prédéterminé. couru d'avance ;2022-04-08;15;1;0.07;93.75
Odds are that ;Il est très probable que ;2022-04-08;9;-3;-0.33;101.25
a doppelganger;un sosie;2022-04-08;11;-1;-0.09;98.75
to saunter;flâner. se balader;2022-04-08;9;-9;-1.0;101.25
a guestbook;un livre d'or;2022-04-11;5;3;0.6;106.25
letdown (common name);la déception / la fatigue;2022-04-13;11;-5;-0.45;98.75
a moat;un fossé. les douves;2022-04-15;9;-3;-0.33;101.25
a blowback;un retour de flamme;2022-04-15;7;3;0.43;103.75
to smear;diffamer;2022-04-18;6;-6;-1.0;105.0
to sow;semer;2022-04-18;5;5;1.0;106.25
a puck;un palet;2022-04-19;6;-6;-1.0;105.0
a water tower;un château d'eau;2022-04-19;4;4;1.0;107.5
innards (common name);les entrailles;2022-04-19;5;-3;-0.6;106.25
a hedgedog;un hérisson;2022-04-22;5;3;0.6;106.25
to dawdle;lambiner. flâner;2022-04-24;9;-9;-1.0;101.25
a sickle;une faucille;2022-04-24;8;8;1.0;102.5
a pulley;une poulie;2022-04-26;4;0;0.0;107.5
gloom (common name);l'obscurité / la tristesse. la mélancolie;2022-04-26;9;-5;-0.56;101.25
a landline;un téléphone fixe;2022-04-29;10;0;0.0;100.0
a roundabout;un rond-point / un manège;2022-04-30;8;0;0.0;102.5
a thread;un fil / un filetage;2022-05-01;7;7;1.0;103.75
an uptake;une absorption;2022-05-01;10;-8;-0.8;100.0
to teardown;démolir / démonter;2022-05-03;8;-6;-0.75;102.5
to clinch;river. attacher / décrocher;2022-05-07;10;2;0.2;100.0
fodder (common name);du fourrage. du foin;2022-05-08;10;-6;-0.6;100.0
handily;facilement;2022-05-09;10;4;0.4;100.0
to embolden;enhardir;2022-05-10;8;8;1.0;102.5
a warren;un terrier. une garenne / un dédale;2022-05-10;7;1;0.14;103.75
a peephole;un judas;2022-05-11;2;2;1.0;110.0
a puppy;un chiot. un petit chien;2022-05-12;9;1;0.11;101.25
a ledge;un rebord. une saillie;2022-05-15;13;-5;-0.38;96.25
to foil;déjouer / tirer au sabre;2022-05-16;8;-8;-1.0;102.5
to capsize;chavirer. se renverser;2022-05-17;9;-5;-0.56;101.25
bosom (common name);le sein. la poitrine;2022-05-17;6;-4;-0.67;105.0
a surmise;une conjecture. une hypothèse;2022-05-17;21;-7;-0.33;86.25
a pod;une nacelle. une capsule / une sacoche;2022-05-17;6;6;1.0;105.0
dorky;idiot;2022-05-18;3;-3;-1.0;108.75
crawfish (common name);l'écrevisse;2022-05-20;7;-1;-0.14;103.75
idiosyncrasy (common name);la particularité;2022-05-21;16;14;0.88;92.5
to clog;boucher. engorger;2022-05-21;9;-7;-0.78;101.25
